0 0 0 0
0 1 0 0
0 2 0 0
0 3 0 0
0 4 0 0
0 5 0 0
0 6 0 0
0 7 0 0
0 8 0 0
0 9 0 0
1 0 0 0
1 1 -0.0124485 -0.0122127
1 2 0.173544 0.0115849
1 3 0.0771054 0.00145684
1 4 0.0457325 -0.000352036
1 5 0.0355581 -0.000192192
1 6 0.0305151 -5.96004e-05
1 7 0.024141 7.11881e-06
1 8 0.0137291 0.000173429
1 9 -0.000283131 0
2 0 0 0
2 1 0.0109648 0.170395
2 2 0.0725117 0.075827
2 3 0.0716938 0.0344779
2 4 0.0670842 0.0172532
2 5 0.0651378 0.00970635
2 6 0.0618096 0.00585798
2 7 0.051677 0.00346448
2 8 0.0305371 0.0016585
2 9 -0.000272625 0
3 0 0 0
3 1 0.00140675 0.0598469
3 2 0.0447578 0.0510959
3 3 0.0693653 0.0346974
3 4 0.0850917 0.0226257
3 5 0.0955562 0.0149303
3 6 0.0985368 0.00986992
3 7 0.0876246 0.00612037
3 8 0.0545425 0.00292937
3 9 -0.00047733 0
4 0 0 0
4 1 -0.000389542 0.0248468
4 2 0.0439567 0.0297707
4 3 0.0818041 0.0261436
4 4 0.112506 0.0206968
4 5 0.135663 0.0157023
4 6 0.147873 0.0114423
4 7 0.139617 0.00756431
4 8 0.0930544 0.0037159
4 9 -0.00083526 0
5 0 0 0
5 1 -0.00082268 0.0119361
5 2 0.0579164 0.017299
5 3 0.111929 0.0179487
5 4 0.157916 0.0163268
5 5 0.194602 0.0138525
5 6 0.2186 0.0110359
5 7 0.217954 0.00779851
5 8 0.158884 0.00391027
5 9 -0.00172644 0
6 0 0 0
6 1 -0.00554509 0.00659701
6 2 0.0888381 0.0104039
6 3 0.169049 0.0118416
6 4 0.233844 0.0117751
6 5 0.28496 0.010838
6 6 0.32193 0.00929598
6 7 0.334696 0.00696602
6 8 0.273299 0.00334931
6 9 -0.00664042 0
7 0 0 0
7 1 -0.0213656 0.00470534
7 2 0.159599 0.00680327
7 3 0.280473 0.00760118
7 4 0.365749 0.00773645
7 5 0.428245 0.00742969
7 6 0.474003 0.00669591
7 7 0.500877 0.0051578
7 8 0.46572 0.00137687
7 9 -0.0218878 0
8 0 0 0
8 1 0.0459866 0.00603322
8 2 0.365439 0.00528627
8 3 0.516063 0.0043948
8 4 0.602784 0.00404679
8 5 0.658674 0.00384256
8 6 0.697083 0.00348344
8 7 0.722851 0.00240771
8 8 0.745986 -0.00438597
8 9 0.0570185 0
9 0 1 0
9 1 1 0.0152778
9 2 1 0.00308681
9 3 1 -0.000186263
9 4 1 -0.000218254
9 5 1 -7.21419e-05
9 6 1 -0.000310269
9 7 1 -0.00184131
9 8 1 -0.0224392
9 9 1 0
